Name, Version, Compiler, Remark
adios2, 2.10.2, fj\@4.12.0,
akaikkr, 2021v02, fj\@4.12.0,
alamode, 1.5.0, fj\@4.12.0,
batchedblas, 1.0, fj\@4.12.0,
bcftools, 1.21, fj\@4.12.0,
bedtools2, 2.31.1, fj\@4.12.0,
biobambam2, 2.0.177, fj\@4.12.0,
blitz, 1.0.2, fj\@4.12.0,
boost, 1.88.0, fj\@4.12.0,
bwa, 0.7.17, fj\@4.12.0,
cbc, 2.10.11, fj\@4.12.0,
cblas, 2015-06-06, fj\@4.12.0,
cmake, 3.31.8, fj\@4.12.0,
cosma, 2.6.6, fj\@4.12.0,
cp2k, 2025.2, fj\@4.12.0,
darshan-runtime, 3.4.0, fj\@4.12.0,
dssp, 3.1.4, fj\@4.12.0,
eigen, 3.4.0, fj\@4.12.0,
eigenexa, 2.6, fj\@4.12.0,
ermod, 0.3.6, fj\@4.12.0,
fds, 6.9.1, fj\@4.12.0,
ffb, 9.0, fj\@4.12.0,
ffmpeg, 6.1.1, fj\@4.12.0,
ffmpeg, 7.1, gcc\@8.5.0,
ffvhc-ace, 0.1, ,
ffx, 03.01, fj\@4.12.0,
fugaku-frontistr, master, fj\@4.12.0,
fujitsu-fftw, 1.1.0, fj\@4.12.0,
fujitsu-mpi, 4.12.0, ,
fujitsu-ssl2, head, ,
gcc, 13.4.0, gcc\@8.5.0,
gcc, 14.3.0, gcc\@8.5.0,
gcc, 15.1.0, gcc\@8.5.0,
gmp, 6.3.0, fj\@4.12.0,
grads, 2.2.3, fj\@4.12.0,
gromacs, 2023.5, fj\@4.12.0,
gromacs, 2024.5, fj\@4.12.0,
gromacs, 2024.6, fj\@4.12.0,
gromacs, 2025.3, fj\@4.12.0,
gsl, 2.8, fj\@4.12.0,
hdf5, 1.14.6, fj\@4.12.0,
hphi, 3.5.1, fj\@4.12.0,
htslib, 1.21, fj\@4.12.0,
hwloc, 2.2.0, ,
improved-rdock, main, fj\@4.12.0,
kim-api, 2.2.1, fj\@4.12.0,
lammps, 20220623.2, fj\@4.12.0,
lammps, 20230802.3, fj\@4.12.0,
lammps, 20230802.4, fj\@4.12.0,
lammps, 20240829.2, fj\@4.12.0,
lammps, 20250722.1, fj\@4.12.0,
libxc, 7.0.0, fj\@4.12.0,
lis, 2.1.7, fj\@4.12.0,
llvm, 17.0.6, gcc\@8.5.0,
llvm, 18.1.8, gcc\@8.5.0,
llvm, 19.1.7, gcc\@8.5.0,
llvm, 20.1.6, gcc\@8.5.0,
mapsplice2, 2.2.1, fj\@4.12.0,
mesa, 25.0.5, fj\@4.12.0,
modylas-new, 1.1.0, fj\@4.12.0, ff=charmm
modylas-new, 1.1.0, fj\@4.12.0, ff=gaff
modylas-new, 1.1.0, fj\@4.12.0, ff=oplsaa
mptensor, 0.3.0, fj\@4.12.0,
mvmc, 1.3.0, fj\@4.12.0,
nano, 8.0, gcc\@8.5.0,
netcdf-c, 4.9.2, fj\@4.12.0,
netcdf-cxx, 4.2, fj\@4.12.0,
netcdf-cxx4, 4.3.1, fj\@4.12.0,
netcdf-fortran, 4.6.1, fj\@4.12.0,
netlib-scalapack, 2.2.2, fj\@4.12.0,
onednn, 3.0, fj\@4.12.0,
openbabel, 3.1.1, fj\@4.12.0,
openblas, 0.3.30, fj\@4.12.0,
openfoam, 2412, fj\@4.12.0,
openfoam-org, 12, fj\@4.12.0,
openjdk, 17.0.11_9, fj\@4.12.0,
openmx, 3.9.9, fj\@4.12.0,
parallel-netcdf, 1.14.0, fj\@4.12.0,
paraview, 5.13.3, fj\@4.12.0,
parmetis, 4.0.3, fj\@4.12.0,
petsc, 3.23.4, fj\@4.12.0,
pfapack, 2014-09-17, fj\@4.12.0,
phase0, 2024.01, fj\@4.12.0, type=2d
phase0, 2024.01, fj\@4.12.0, type=3d
picard, 3.3.0, ,
plumed, 2.9.0, fj\@4.12.0,
povray, 3.7.0.10, fj\@4.12.0,
py-ase, 3.23.0, ,
py-cftime, 1.6.4, fj\@4.12.0,
py-dask, 2024.7.1, ,
py-h5py, 3.13.0, fj\@4.12.0,
py-hypothesis, 6.96.2, ,
py-ipykernel, 6.29.5, ,
py-matplotlib, 3.10.3, fj\@4.12.0,
py-mpi4py, 4.0.1, fj\@4.12.0,
py-netcdf4, 1.7.2, fj\@4.12.0,
py-numpy, 1.26.4, fj\@4.12.0,
py-numpy, 2.2.6, fj\@4.12.0,
py-pandas, 2.3.1, fj\@4.12.0,
py-pip, 25.1.1, ,
py-pyarrow, 16.1.0, fj\@4.12.0,
py-pydmd, 0.3, ,
py-pygps, 1.3.5, ,
py-pymol, 2.5.0, fj\@4.12.0,
py-pysam, 0.21.0, fj\@4.12.0,
py-pytest, 8.2.1, ,
py-pytoml, 0.1.21, ,
py-scikit-learn, 1.7.0, fj\@4.12.0,
py-scipy, 1.8.1, fj\@4.12.0,
py-seaborn, 0.13.2, ,
py-spglib, 2.0.2, fj\@4.12.0,
py-toml, 0.10.2, ,
py-xarray, 2024.7.0, ,
python, 3.13.5, fj\@4.12.0,
qt, 5.15.16, fj\@4.12.0,
quantum-espresso, 7.3.1, fj\@4.12.0,
quantum-espresso, 7.4.1, fj\@4.12.0,
raja, 2025.03.0, fj\@4.12.0,
rist-fftw, 3.3.9-272-g63d6bd70, ,
rust, 1.85.0, fj\@4.12.0,
salmon-tddft, 2.2.1, fj\@4.12.0,
samtools, 1.19.2, fj\@4.12.0,
screen, 4.9.1, fj\@4.12.0,
smash, 3.0.2, fj\@4.12.0,
spglib, 2.5.0, fj\@4.12.0,
star, 2.7.11b, fj\@4.12.0,
suite-sparse, 7.8.3, fj\@4.12.0,
tmux, 3.5a, fj\@4.12.0,
zpares, 0.9.6a, fj\@4.12.0,
